 ,image,char,Open Sans,Sansation,Titillium Web,Ubuntu Mono,Alex Brush
0,leather_60.jpg_0,>,0,1,0,0,0
1,leather_60.jpg_0,d,0,1,0,0,0
2,leather_60.jpg_0,o,0,1,0,0,0
3,peacock_130.jpg_0,t,0,0,0,1,0
4,peacock_130.jpg_0,h,0,0,0,1,0
5,peacock_130.jpg_0,e,0,0,0,1,0
6,desert_138.jpg_0,y,0,1,0,0,0
7,desert_138.jpg_0,o,0,1,0,0,0
8,desert_138.jpg_0,u,0,1,0,0,0
9,baroque_34.jpg_0,c,0,1,0,0,0
10,baroque_34.jpg_0,a,0,1,0,0,0
11,baroque_34.jpg_0,n,0,1,0,0,0
12,clothes_90.jpg_0,_,0,0,1,0,0
13,clothes_90.jpg_0,C,0,0,1,0,0
14,clothes_90.jpg_0,T,0,0,1,0,0
15,clothes_90.jpg_0,S,0,0,1,0,0
16,window_86.jpg_0,>,0,0,0,1,0
17,window_86.jpg_0,a,0,0,0,1,0
18,window_86.jpg_0,t,0,0,0,1,0
19,window_86.jpg_0,&,0,0,0,1,0
20,window_86.jpg_0,w,0,0,0,1,0
21,window_86.jpg_0,0,0,0,0,1,0
22,study+room_105.jpg_0,t,0,0,0,0,1
23,study+room_105.jpg_0,h,0,0,0,0,1
24,study+room_105.jpg_0,e,0,0,0,0,1
25,rajasthan_28.jpg_0,2,0,0,0,1,0
26,rajasthan_28.jpg_0,7,0,0,0,1,0
27,rajasthan_28.jpg_0,:,0,0,0,1,0
28,jogging_21.jpg_0,d,0,1,0,0,0
29,jogging_21.jpg_0,o,0,1,0,0,0
30,jogging_21.jpg_0,n,0,1,0,0,0
31,jogging_21.jpg_0,',0,1,0,0,0
32,jogging_21.jpg_0,t,0,1,0,0,0
33,kathmandu_54.jpg_0,O,1,0,0,0,0
34,kathmandu_54.jpg_0,u,1,0,0,0,0
35,kathmandu_54.jpg_0,r,1,0,0,0,0
36,aquarium_63.jpg_0,w,0,0,1,0,0
37,aquarium_63.jpg_0,a,0,0,1,0,0
38,aquarium_63.jpg_0,s,0,0,1,0,0
39,bedroom_1.jpg_0,t,0,0,0,0,1
40,bedroom_1.jpg_0,h,0,0,0,0,1
41,bedroom_1.jpg_0,e,0,0,0,0,1
42,coal_28.jpg_0,j,0,0,0,1,0
43,coal_28.jpg_0,u,0,0,0,1,0
44,coal_28.jpg_0,s,0,0,0,1,0
45,coal_28.jpg_0,t,0,0,0,1,0
